Title,Year,Rating,IMG_URL
Dune,2021,8.1,https://static.movie.ge/movies/bg/normal/Qs96AYmGzIAhxwewa5KDd53iUnFvjswxstFf3KCr.jpg
It's Beginning to Look a Lot Like Christmas,2019,6.0,https://static.movie.ge/movies/bg/normal/jJlM7XxfWdAhWx6BeqFYJWIceId.jpg
Paris-Willouby,2016,5.2,https://static.movie.ge/movies/bg/normal/4FsDlVPt61kwxyhvCmqO6kdloOx.jpg
A Christmas Miracle for Daisy,2021,6.8,https://static.movie.ge/movies/bg/normal/xwzNxuKqYKJ8fCqErn40x3YAs9T.jpg
The Mortuary Collection,2020,6.4,https://static.movie.ge/movies/bg/normal/tsGSTBl5H8DBLnHc24Teny0Ppc5.jpg
Secret Santa,2021,5.5,https://static.movie.ge/movies/bg/normal/e1og8NwdAQA7DBAbiJJCvfNwR3jFP8JjlukTc4GO.png
He Loves Me... He Loves Me Not,2002,7.1,https://static.movie.ge/movies/bg/normal/xwPS4U5DoAohQJ8orDsEEg22zot.jpg
Le Calendrier,2021,6.4,https://static.movie.ge/movies/bg/normal/sxmazOtNWi6IiZ1QqG0wkliHzgA.jpg
Vacation Friends,2021,6.3,https://static.movie.ge/movies/bg/normal/o0UGl6icA4DbhmDNgdZ5AWvuTtM.jpg
Reminiscence,2021,5.8,https://static.movie.ge/backdrop/normal/8yhWlFcJ8zCqjfCvLy3lWFuawR1.jpg
Don't Look Up,2021,7.2,https://static.movie.ge/movies/bg/normal/2qvRJEitdjgWDDWBW7Ll6MGPfDWM272Y5MGVLOIi.jpg
Rumble,2022,5.9,https://static.movie.ge/movies/bg/normal/2ycdhulWPq2C69lYxKKWFgzJjog.jpg
Antlers,2021,5.9,https://static.movie.ge/movies/bg/normal/Sy7YWFqQ6UMIiwlr8BDVynGVHcjS2YyirTKjrI5p.jpg
Encounter,2021,5.8,https://static.movie.ge/movies/bg/normal/zlj0zHo67xXoj7hvwGtaKRkSdBV.jpg
Imagine That,2009,5.6,https://static.movie.ge/movies/bg/normal/l4LnlV6KCVlyzzQlcia6WtETTwrWwMTSkwUzFPrP.jpg
The Accursed,2021,6.4,https://static.movie.ge/movies/bg/normal/jZXvRmQTAFmNaHSyN8DQqS5IIaM.jpg
Fortress,2021,3.5,https://static.movie.ge/movies/bg/normal/1BqX34aJS5J8PefVnQSfQIEPfkl.jpg
The Devil Inside,2012,4.2,https://static.movie.ge/movies/bg/normal/xqJBx9a4u7pRpvrKc9sZrkPXJV1.jpg
Apostasy,2017,6.9,https://static.movie.ge/movies/bg/normal/An5pwPYRBfUCXDxhcgt7rjwvj9G.jpg
The Power,2021,5.5,https://static.movie.ge/movies/bg/normal/lQ7OF8zoLMOh1rxL0iwWXr28jk0.jpg
